Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region26Tibet_to_Region29Qinghai_CO2_Pipeline,Region26Tibet,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region26Tibet,co2_transported_Region26Tibet_to_Region29Qinghai,1,0,0.001506147,4.38E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region26Tibet_to_Tarim_CO2_Pipeline,Region26Tibet,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region26Tibet,co2_transported_Region26Tibet_to_Tarim,1,0,0.001430168,4.37E-05,0,0.08,25,15,0
OneWayTransmissionLink,TurpanHami_to_Junggar_CO2_Pipeline,TurpanHami,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_TurpanHami,co2_transported_TurpanHami_to_Junggar,1,0,0.00042605,1.44E-05,0,0.08,25,15,0
OneWayTransmissionLink,TurpanHami_to_Qaidam_CO2_Pipeline,TurpanHami,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_TurpanHami,co2_transported_TurpanHami_to_Qaidam,1,0,0.000553434,1.83E-05,0,0.08,25,15,0
OneWayTransmissionLink,TurpanHami_to_YingenEjina_CO2_Pipeline,TurpanHami,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_TurpanHami,co2_transported_TurpanHami_to_YingenEjina,1,0,0.000717841,2.46E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region31Xinjiang_to_Junggar_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_Junggar,1,0,0.000176504,4.77E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region31Xinjiang_to_Qaidam_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_Qaidam,1,0,0.00086206,2.87E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region31Xinjiang_to_Tarim_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_Tarim,1,0,0.000842731,2.56E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region31Xinjiang_to_TurpanHami_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_TurpanHami,1,0,0.000375375,1.20E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region25Yunnan_to_BeibuGulf_CO2_Pipeline,Region25Yunnan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region25Yunnan,co2_transported_Region25Yunnan_to_BeibuGulf,1,0,0.001314092,3.94E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region25Yunnan_to_Region26Tibet_CO2_Pipeline,Region25Yunnan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region25Yunnan,co2_transported_Region25Yunnan_to_Region26Tibet,1,0,0.002903502,6.00E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region11Zhejiang_to_Region12Anhui_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_Region12Anhui,1,0,0.000795856,1.22E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region11Zhejiang_to_EastChinaSea_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_EastChinaSea,1,0,0.000724884,2.17E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region11Zhejiang_to_Region13Fujian_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_Region13Fujian,1,0,0.001197363,1.46E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region11Zhejiang_to_Region14Jiangxi_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_Region14Jiangxi,1,0,0.001028398,1.54E-05,0,0.08,25,15,0
