Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate,transforms--startup_fuel_consumption,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--existing_capacity,edges--elec_edge--min_capacity,edges--elec_edge--capacity_size,edges--elec_edge--investment_cost,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--startup_cost,edges--elec_edge--wacc,edges--elec_edge--lifetime,edges--elec_edge--capital_recovery_period,edges--elec_edge--min_flow_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--uc,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--fuel_edge--constraints--BalanceConstraint,edges--co2_edge--commodity,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex,edges--co2_captured_edge--has_capacity,edges--elec_edge--constraints--MaxNewCapacityConstraint,edges--elec_edge--constraints--MinCapacityConstraint
ThermalPowerCCS,Region22Chongqing_GasPowerCCS,Region22Chongqing,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region22Chongqing,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region22Chongqing,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region22Chongqing,FALSE,FALSE,TRUE
ThermalPowerCCS,Region23Sichuan_GasPowerCCS,Region23Sichuan,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region23Sichuan,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region23Sichuan,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region23Sichuan,FALSE,FALSE,TRUE
ThermalPowerCCS,Region24Guizhou_GasPowerCCS,Region24Guizhou,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region24Guizhou,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region24Guizhou,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region24Guizhou,FALSE,FALSE,TRUE
ThermalPowerCCS,Region25Yunnan_GasPowerCCS,Region25Yunnan,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region25Yunnan,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region25Yunnan,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region25Yunnan,FALSE,FALSE,TRUE
ThermalPowerCCS,Region26Tibet_GasPowerCCS,Region26Tibet,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region26Tibet,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region26Tibet,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region26Tibet,FALSE,FALSE,TRUE
ThermalPowerCCS,Region27Shaanxi_GasPowerCCS,Region27Shaanxi,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region27Shaanxi,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region27Shaanxi,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region27Shaanxi,FALSE,FALSE,TRUE
ThermalPowerCCS,Region28Gansu_GasPowerCCS,Region28Gansu,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region28Gansu,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region28Gansu,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region28Gansu,FALSE,FALSE,TRUE
ThermalPowerCCS,Region29Qinghai_GasPowerCCS,Region29Qinghai,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region29Qinghai,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region29Qinghai,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region29Qinghai,FALSE,FALSE,TRUE
ThermalPowerCCS,Region30Ningxia_GasPowerCCS,Region30Ningxia,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region30Ningxia,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region30Ningxia,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region30Ningxia,FALSE,FALSE,TRUE
ThermalPowerCCS,Region31Xinjiang_GasPowerCCS,Region31Xinjiang,FALSE,Electricity,TRUE,2.175,0.0211094,0.1899846,0,Electricity,elec_Region31Xinjiang,TRUE,TRUE,TRUE,0,0,200,868055.56,21701.39,6.388889,41.666667,0.08,40,40,0.35,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region31Xinjiang,FALSE,FALSE,CO2,co2_sink_national_period7,FALSE,CO2Captured,co2captured_Region31Xinjiang,FALSE,FALSE,TRUE
