Type,id,location,integer_decisions,charge_integer_decisions,discharge_integer_decisions,storage--commodity,storage--can_expand,storage--can_retire,storage--long_duration,storage--charge_discharge_ratio,storage--existing_capacity,storage--min_capacity,storage--max_new_capacity,storage--min_retired_capacity,storage--capacity_size,storage--investment_cost,storage--fixed_om_cost,storage--variable_om_cost,storage--wacc,storage--lifetime,storage--capital_recovery_period,storage--loss_fraction,storage--min_duration,storage--max_duration,storage--min_storage_level,storage--max_storage_level,storage--constraints--BalanceConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--MinStorageLevelConstraint,storage--constraints--MaxStorageLevelConstraint,edges--charge_edge--commodity,edges--charge_edge--start_vertex,edges--charge_edge--unidirectional,edges--charge_edge--has_capacity,edges--charge_edge--can_expand,edges--charge_edge--can_retire,edges--charge_edge--existing_capacity,edges--charge_edge--min_capacity,edges--charge_edge--max_new_capacity,edges--charge_edge--min_retired_capacity,edges--charge_edge--capacity_size,edges--charge_edge--investment_cost,edges--charge_edge--fixed_om_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--wacc,edges--charge_edge--lifetime,edges--charge_edge--capital_recovery_period,edges--charge_edge--efficiency,edges--charge_edge--loss_fraction,edges--charge_edge--min_flow_fraction,edges--charge_edge--constraints--CapacityConstraint,edges--charge_edge--constraints--MinCapacityConstraint,edges--charge_edge--constraints--MaxNewCapacityConstraint,edges--charge_edge--constraints--MinFlowConstraint,edges--charge_edge--constraints--StorageChargeLimitConstraint,edges--discharge_edge--commodity,edges--discharge_edge--end_vertex,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--existing_capacity,edges--discharge_edge--min_capacity,edges--discharge_edge--max_new_capacity,edges--discharge_edge--min_retired_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--investment_cost,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--wacc,edges--discharge_edge--lifetime,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--efficiency,edges--discharge_edge--loss_fraction,edges--discharge_edge--min_flow_fraction,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--MinCapacityConstraint,edges--discharge_edge--constraints--MaxNewCapacityConstraint,edges--discharge_edge--constraints--MinFlowConstraint,edges--discharge_edge--constraints--StorageDischargeLimitConstraint
Battery,Region11Zhejiang_pumpedhydro,Region11Zhejiang,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,76800,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,7680,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,7680,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region12Anhui_pumpedhydro,Region12Anhui,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,46800,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region12Anhui,TRUE,TRUE,TRUE,TRUE,4680,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region12Anhui,TRUE,TRUE,TRUE,TRUE,4680,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region13Fujian_pumpedhydro,Region13Fujian,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,38000,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region13Fujian,TRUE,TRUE,TRUE,TRUE,3800,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region13Fujian,TRUE,TRUE,TRUE,TRUE,3800,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region14Jiangxi_pumpedhydro,Region14Jiangxi,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,12000,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,1200,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,1200,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region15Shandong_pumpedhydro,Region15Shandong,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,40000,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region15Shandong,TRUE,TRUE,TRUE,TRUE,4000,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region15Shandong,TRUE,TRUE,TRUE,TRUE,4000,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region16Henan_pumpedhydro,Region16Henan,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,27700,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region16Henan,TRUE,TRUE,TRUE,TRUE,2770,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region16Henan,TRUE,TRUE,TRUE,TRUE,2770,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region17Hubei_pumpedhydro,Region17Hubei,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,12000,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region17Hubei,TRUE,TRUE,TRUE,TRUE,1200,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region17Hubei,TRUE,TRUE,TRUE,TRUE,1200,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region18Hunan_pumpedhydro,Region18Hunan,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,12000,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region18Hunan,TRUE,TRUE,TRUE,TRUE,1200,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region18Hunan,TRUE,TRUE,TRUE,TRUE,1200,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region19Guangdong_pumpedhydro,Region19Guangdong,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,108800,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region19Guangdong,TRUE,TRUE,TRUE,TRUE,10880,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region19Guangdong,TRUE,TRUE,TRUE,TRUE,10880,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
Battery,Region20Guangxi_pumpedhydro,Region20Guangxi,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,0,0,,0,10000,29827.3,0,0,0.08,40,40,0,6,10,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region20Guangxi,TRUE,TRUE,TRUE,TRUE,0,0,,0,1000,735726.63,9897.85,0,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region20Guangxi,TRUE,TRUE,TRUE,TRUE,0,0,,0,1000,735726.63,9897.85,0.56,0.08,40,40,0.88,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
