zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,1.8351123612218662e10,8.390735930086698e9,1.5218724306811708e8,4.69776821845284e6,0.0,0.0,0.0,2.6898744553591927e10
Region2Tianjin,6.242639432248671e7,2.50461277797032e9,5.669170049311193e8,4.419840304283377e6,0.0,0.0,0.0,3.1383760175282097e9
Region12Anhui,2.8009264545490402e10,1.6214341774278547e10,1.7797496778980184e9,4.0488611799578746e6,0.0,0.0,0.0,4.6007404858846924e10
Region9Shanghai,1.0932210517507217e10,5.586782142826431e9,1.6322377859934049e9,1.739398944465867e7,0.0,0.0,0.0,1.8168624435771713e10
Region22Chongqing,2.4457212290505448e8,2.1060784150092976e10,7.6231347712933e9,1.2348888035256574e7,0.0,0.0,0.0,2.8940839932326588e10
Region13Fujian,1.6313380969104605e11,2.5058182028811417e10,3.4018486496282535e9,3.45714640862414e6,0.0,0.0,0.0,1.9159729751589438e11
Region28Gansu,2.8301601015573395e11,2.8807788606548874e10,1.1146987060292783e9,3.840181317763014e6,0.0,0.0,0.0,3.129423376496299e11
Region19Guangdong,1.5740256856556348e11,2.8651940686094822e10,7.872314521569866e9,5.919519763488986e8,0.0,0.0,0.0,1.9451877574957706e11
Region20Guangxi,1.1788091815467337e11,4.060549158197744e10,9.132726280397657e9,9.944784381759817e6,0.0,0.0,0.0,1.6762908080143024e11
Region24Guizhou,6.748915836671405e10,4.599629587329131e10,1.1410859331713533e10,3.539518332145372e6,0.0,0.0,0.0,1.2489985309005104e11
Region21Hainan,1.1942860994335878e10,4.701884654646359e9,9.788921059372665e8,1.2674917580788514e8,0.0,0.0,0.0,1.775038693072739e10
Region3Hebei,1.9737737446660657e11,5.2602345719563446e10,4.696808118455303e9,4.514636895870098e6,0.0,0.0,0.0,2.5468104294152118e11
Region8Heilongjiang,5.9092334760172e10,8.646263525423534e9,3.848083181522032e8,3.5960858441694e6,0.0,0.0,0.0,6.812700268959191e10
Region16Henan,1.132788133143973e10,6.245399649738007e9,1.1598520076993618e9,4.0301983935812996e6,0.0,0.0,0.0,1.873716318727068e10
Region17Hubei,6.952233416806003e8,1.3007507986465607e10,1.3777281313905964e9,5.39481883116755e6,0.0,0.0,0.0,1.5085854278367971e10
Region18Hunan,8.663252566069373e10,1.3397035328196915e10,1.2950000378617644e9,4.370550233343523e6,0.0,0.0,0.0,1.0132893157698575e11
Region5Innermongolia,1.777905628999315e11,4.877676260014628e10,3.8410053740765274e10,3.818116807784597e8,0.0,0.0,0.0,2.653591909216215e11
Region10Jiangsu,2.2664307383576775e9,2.8681172872990784e10,4.730965344030587e9,4.45215091757934e6,0.0,0.0,0.0,3.568302110629663e10
Region14Jiangxi,8.392013113911747e8,1.2423839601098797e10,1.2362803180770953e9,2.6294960968738575e6,0.0,0.0,0.0,1.450195072666394e10
Region7Jilin,4.356031848196194e10,1.0714730593085848e10,5.555760165083897e8,3.233589075666315e6,0.0,0.0,0.0,5.483385868063184e10
Region6Liaoning,5.875287031469052e10,1.2051634706091867e10,1.4283543673759024e9,4.1370719357438255e6,0.0,0.0,0.0,7.223699646009404e10
Region30Ningxia,1.2849562113827892e8,1.0366734709919598e10,2.7446512956575828e9,5.468650047841069e6,0.0,0.0,0.0,1.32453502767633e10
Region29Qinghai,1.0131655694130573e10,5.950530256150603e9,3.682797833036778e8,3.323176154984506e6,0.0,0.0,0.0,1.6453788909739841e10
Region27Shaanxi,1.066930568521036e11,2.5063249306627216e10,3.043739864771064e9,3.1533534516341155e6,0.0,0.0,0.0,1.348031993769535e11
Region15Shandong,1.1128949802509893e10,3.0450865665339485e10,2.8867246907608986e9,3.9682051796153625e6,0.0,0.0,0.0,4.4470508363789894e10
Region4Shanxi,7.470712729203258e10,8.232309244083133e10,2.9477469510986313e10,3.392814985948555e6,0.0,0.0,0.0,1.8651108205883618e11
Region23Sichuan,5.701430477722378e10,2.7002790287616283e10,1.7645699332890253e9,7.9776473896630565e6,0.0,0.0,0.0,8.578964264551875e10
Region26Tibet,1.8586325634395412e10,3.0108175763870993e9,8.40389973991333e7,5.54679846103526e6,0.0,0.0,0.0,2.168672900664268e10
Region31Xinjiang,9.798146253418866e10,4.055769899011893e10,9.236133119653786e9,6.350161406906947e6,0.0,0.0,0.0,1.477816448053683e11
Region25Yunnan,2.98457969552143e10,3.875779601869665e10,6.44535590946217e9,3.027122294954007e6,0.0,0.0,0.0,7.505197600566808e10
Region11Zhejiang,2.3078468450443637e11,3.372672551919701e10,5.59099956908357e9,3.964848719959398e6,0.0,0.0,0.0,2.7010637444143692e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,1954.216189348656,0.0,0.0,0.0,0.0,1954.216189348656
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,1056.6264398867515,0.0,0.0,0.0,0.0,1056.6264398867515
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,1004.3950479548971,0.0,0.0,0.0,0.0,1004.3950479548971
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,958.9339917281044,0.0,0.0,0.0,0.0,958.9339917281044
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,20709.79808040322,0.0,0.0,0.0,0.0,20709.79808040322
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,2313.5185574973234,0.0,0.0,0.0,0.0,2313.5185574973234
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,2799.0444736563663,0.0,0.0,0.0,0.0,2799.0444736563663
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,5203.821235682399,0.0,0.0,0.0,0.0,5203.821235682399
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,5117.026118461717,0.0,0.0,0.0,0.0,5117.026118461717
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,4269.805115297425,0.0,0.0,0.0,0.0,4269.805115297425
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,3826.523167599613,0.0,0.0,0.0,0.0,3826.523167599613
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,3405.4708832398564,0.0,0.0,0.0,0.0,3405.4708832398564
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,2788.509741277295,0.0,0.0,0.0,0.0,2788.509741277295
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,2342.558086363924,0.0,0.0,0.0,0.0,2342.558086363924
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1910.1826421340943,0.0,0.0,0.0,0.0,1910.1826421340943
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,2919.011535770734,0.0,0.0,0.0,0.0,2919.011535770734
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,2169.497416656546,0.0,0.0,0.0,0.0,2169.497416656546
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,2026.9597217133112,0.0,0.0,0.0,0.0,2026.9597217133112
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,1560.357184633504,0.0,0.0,0.0,0.0,1560.357184633504
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,1447.5984396950416,0.0,0.0,0.0,0.0,1447.5984396950416
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,1350.731651767995,0.0,0.0,0.0,0.0,1350.731651767995
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,1591.3538669460556,0.0,0.0,0.0,0.0,1591.3538669460556
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,1275.9184806451326,0.0,0.0,0.0,0.0,1275.9184806451326
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,1637.064854006533,0.0,0.0,0.0,0.0,1637.064854006533
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,1772.2944447854259,0.0,0.0,0.0,0.0,1772.2944447854259
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,1867.8220803105107,0.0,0.0,0.0,0.0,1867.8220803105107
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,2051.641058898245,0.0,0.0,0.0,0.0,2051.641058898245
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,1747.344350303763,0.0,0.0,0.0,0.0,1747.344350303763
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,2865.3383024324103,0.0,0.0,0.0,0.0,2865.3383024324103
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,1561.821116780668,0.0,0.0,0.0,0.0,1561.821116780668
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,1047.6163680060467,0.0,0.0,0.0,0.0,1047.6163680060467
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,1004.3098651888265,0.0,0.0,0.0,0.0,1004.3098651888265
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,1048.7148224449063,0.0,0.0,0.0,0.0,1048.7148224449063
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,106766.07379674402,0.0,0.0,0.0,0.0,106766.07379674402
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,2291.9847076115025,0.0,0.0,0.0,0.0,2291.9847076115025
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,2783.5224652687994,0.0,0.0,0.0,0.0,2783.5224652687994
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,6510.83274366798,0.0,0.0,0.0,0.0,6510.83274366798
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,6107.4983622415475,0.0,0.0,0.0,0.0,6107.4983622415475
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,4924.520684566148,0.0,0.0,0.0,0.0,4924.520684566148
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,4122.279669911592,0.0,0.0,0.0,0.0,4122.279669911592
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,3669.229809900155,0.0,0.0,0.0,0.0,3669.229809900155
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,2861.372831843211,0.0,0.0,0.0,0.0,2861.372831843211
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,2312.164510732779,0.0,0.0,0.0,0.0,2312.164510732779
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,1880.9141651206785,0.0,0.0,0.0,0.0,1880.9141651206785
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,2921.628550692203,0.0,0.0,0.0,0.0,2921.628550692203
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,2169.877646669417,0.0,0.0,0.0,0.0,2169.877646669417
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,2033.5704243021628,0.0,0.0,0.0,0.0,2033.5704243021628
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,1563.0730165572536,0.0,0.0,0.0,0.0,1563.0730165572536
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,1450.562544599783,0.0,0.0,0.0,0.0,1450.562544599783
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,1354.0640565937688,0.0,0.0,0.0,0.0,1354.0640565937688
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,1590.5814387834018,0.0,0.0,0.0,0.0,1590.5814387834018
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,1277.2619706156179,0.0,0.0,0.0,0.0,1277.2619706156179
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,1639.7816626330057,0.0,0.0,0.0,0.0,1639.7816626330057
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,1758.9692122727263,0.0,0.0,0.0,0.0,1758.9692122727263
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,1850.1886009276184,0.0,0.0,0.0,0.0,1850.1886009276184
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,2025.498694455638,0.0,0.0,0.0,0.0,2025.498694455638
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,1730.5073317581807,0.0,0.0,0.0,0.0,1730.5073317581807
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,2733.219305716914,0.0,0.0,0.0,0.0,2733.219305716914
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,15350.766182883497,0.0,0.0,0.0,0.0,15350.766182883497
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,17611.50202715868,0.0,0.0,0.0,0.0,17611.50202715868
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,960.1599504263903,0.0,0.0,0.0,0.0,960.1599504263903
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,1338.4289767274727,0.0,0.0,0.0,0.0,1338.4289767274727
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,36624.55629873056,0.0,0.0,0.0,0.0,36624.55629873056
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,2918.2763749937244,0.0,0.0,0.0,0.0,2918.2763749937244
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,3352.375389125138,0.0,0.0,0.0,0.0,3352.375389125138
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,91817.26922812473,0.0,0.0,0.0,0.0,91817.26922812473
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,114035.23169471853,0.0,0.0,0.0,0.0,114035.23169471853
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,11541.175333611707,0.0,0.0,0.0,0.0,11541.175333611707
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,17268.38666070858,0.0,0.0,0.0,0.0,17268.38666070858
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,5962.352342823948,0.0,0.0,0.0,0.0,5962.352342823948
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,5141.838836303228,0.0,0.0,0.0,0.0,5141.838836303228
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,40577.91180826067,0.0,0.0,0.0,0.0,40577.91180826067
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,4263.069561820033,0.0,0.0,0.0,0.0,4263.069561820033
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,7706.357397851018,0.0,0.0,0.0,0.0,7706.357397851018
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,3116.2664051703723,0.0,0.0,0.0,0.0,3116.2664051703723
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,2502.772346034061,0.0,0.0,0.0,0.0,2502.772346034061
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,1743.7069088737844,0.0,0.0,0.0,0.0,1743.7069088737844
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,1593.3005625286833,0.0,0.0,0.0,0.0,1593.3005625286833
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,1473.0854440084356,0.0,0.0,0.0,0.0,1473.0854440084356
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,1835.4300501501853,0.0,0.0,0.0,0.0,1835.4300501501853
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,1409.2255882842494,0.0,0.0,0.0,0.0,1409.2255882842494
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,1836.3892806253657,0.0,0.0,0.0,0.0,1836.3892806253657
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,2664.7585984502807,0.0,0.0,0.0,0.0,2664.7585984502807
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,2677.2144149765695,0.0,0.0,0.0,0.0,2677.2144149765695
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,3083.3816555724825,0.0,0.0,0.0,0.0,3083.3816555724825
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,2719.7892120200927,0.0,0.0,0.0,0.0,2719.7892120200927
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,3595.570629636879,0.0,0.0,0.0,0.0,3595.570629636879
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,4.945338832615004e6,0.0,0.0,0.0,0.0,4.945338832615004e6
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,8.211347911325694e6,0.0,0.0,0.0,0.0,8.211347911325694e6
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,5.455811272087252e7,0.0,0.0,0.0,0.0,5.455811272087252e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,2258.627886674807,0.0,0.0,0.0,0.0,2258.627886674807
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,1.2326993139110845e8,0.0,0.0,0.0,0.0,1.2326993139110845e8
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,3486.673054672081,0.0,0.0,0.0,0.0,3486.673054672081
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,3910.9549029710693,0.0,0.0,0.0,0.0,3910.9549029710693
