Type,id,location,integer_decisions,transforms--timedata,edges--edge--commodity,edges--edge--end_vertex,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--existing_capacity,edges--edge--max_capacity,edges--edge--capacity_size,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--constraints--MaxNewCapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--TDR_path,edges--edge--constraints--MinCapacityConstraint,edges--edge--min_capacity
VRE,Region18Hunan_offshore_wind,Region18Hunan,FALSE,Electricity,Electricity,elec_Region18Hunan,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region18Hunan_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region19Guangdong_offshore_wind,Region19Guangdong,FALSE,Electricity,Electricity,elec_Region19Guangdong,TRUE,TRUE,TRUE,10936,266000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region19Guangdong_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region20Guangxi_offshore_wind,Region20Guangxi,FALSE,Electricity,Electricity,elec_Region20Guangxi,TRUE,TRUE,TRUE,60,26000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region20Guangxi_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region21Hainan_offshore_wind,Region21Hainan,FALSE,Electricity,Electricity,elec_Region21Hainan,TRUE,TRUE,TRUE,7,49000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region21Hainan_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region22Chongqing_offshore_wind,Region22Chongqing,FALSE,Electricity,Electricity,elec_Region22Chongqing,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region22Chongqing_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region23Sichuan_offshore_wind,Region23Sichuan,FALSE,Electricity,Electricity,elec_Region23Sichuan,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region23Sichuan_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region24Guizhou_offshore_wind,Region24Guizhou,FALSE,Electricity,Electricity,elec_Region24Guizhou,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region24Guizhou_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region25Yunnan_offshore_wind,Region25Yunnan,FALSE,Electricity,Electricity,elec_Region25Yunnan,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region25Yunnan_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region26Tibet_offshore_wind,Region26Tibet,FALSE,Electricity,Electricity,elec_Region26Tibet,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region26Tibet_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region27Shaanxi_offshore_wind,Region27Shaanxi,FALSE,Electricity,Electricity,elec_Region27Shaanxi,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region27Shaanxi_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region28Gansu_offshore_wind,Region28Gansu,FALSE,Electricity,Electricity,elec_Region28Gansu,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region28Gansu_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region29Qinghai_offshore_wind,Region29Qinghai,FALSE,Electricity,Electricity,elec_Region29Qinghai,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region29Qinghai_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region30Ningxia_offshore_wind,Region30Ningxia,FALSE,Electricity,Electricity,elec_Region30Ningxia,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region30Ningxia_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region31Xinjiang_offshore_wind,Region31Xinjiang,FALSE,Electricity,Electricity,elec_Region31Xinjiang,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region31Xinjiang_offshore_wind,system/vre_availability_5.csv,TRUE,0
