type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},107850.61436445311,1.0289506869155125e11,4.4097886582093445e10,5.2491529044626915e10,0.0,0.0,0.0,1.99484592168886e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.208342263342566e9,0.0,0.0,0.0,0.0,2.208342263342566e9
AluminumRefining,3.2825939386655707e9,1.0244228481399797e10,2.628083643842535e10,4.7829875936802234e11,0.0,0.0,0.0,5.1810641822651306e11
OneWayTransmissionLink{AluminumScrap},0.0,0.0,6.773982830186745e8,5.299014075549784e10,0.0,0.0,0.0,5.366753903851652e10
AluminumSmelting,62919.55127096703,2.7286812491998028e10,7.264697669960925e9,3.954573328406141e10,0.0,0.0,0.0,7.409730636557162e10
ThermalAmmonia{Coal},209091.76940440567,1.0124308254437634e10,0.0,5.5273074814676575e10,0.0,0.0,0.0,6.539759216088361e10
ThermalAmmoniaCCS{Coal},345340.741311336,1.7481177161135133e7,0.0,4.512533810172696e7,0.0,0.0,0.0,6.295185600417343e7
ThermalAmmonia{CokingOvenGas},0.0,6.270351470255477e6,0.0,2.0874840159656089e6,0.0,0.0,0.0,8.357835486221086e6
ThermalAmmonia{NaturalGas},100499.69478656992,4.652339650945182e8,0.0,5.049567068088125e9,0.0,0.0,0.0,5.51490153287743e9
ThermalAmmoniaCCS{NaturalGas},389629.72985271725,1.3839678885044543e7,0.0,3.456025813530674e7,0.0,0.0,0.0,4.8789566750204e7
SyntheticAmmonia,778312.6623739508,1.091130507221797e7,0.0,0.0,0.0,0.0,0.0,1.168961773459192e7
OneWayTransmissionLink{Cement},0.0,0.0,1.440913062183476e6,0.0,0.0,0.0,0.0,1.440913062183476e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,4.350790184500259e10,0.0,0.0,0.0,0.0,4.350790184500259e10
OneWayTransmissionLink{DRI},0.0,0.0,2.302266422724479e8,0.0,0.0,0.0,0.0,2.302266422724479e8
DRIMaking,2.8527963944999566e9,7.076752771399341e8,0.0,3.2056262311918836e9,0.0,0.0,0.0,6.766097902831774e9
ThermalMethanol{Coal},1.4432795847030631e6,9.924166252418364e9,0.0,6.926136085488162e10,0.0,0.0,0.0,7.918697038688469e10
ThermalMethanolCCS{Coal},275605.4424318231,2.595550434984946e7,0.0,1.1598911960848498e8,0.0,0.0,0.0,1.4222022940076625e8
ThermalMethanol{CokingOvenGas},0.0,2.2470329964777328e7,0.0,6.7443066603946835e6,0.0,0.0,0.0,2.921463662517201e7
ThermalMethanol{NaturalGas},0.0,4.502400672942317e8,0.0,5.46288334841425e9,0.0,0.0,0.0,5.913123415708482e9
ThermalMethanolCCS{NaturalGas},554316.1680115506,2.1027218092974007e7,0.0,1.2488729389580351e8,0.0,0.0,0.0,1.4646882815678906e8
SyntheticMethanol,1.2589823803439683e6,1.9958092045626722e7,0.0,0.0,0.0,0.0,0.0,2.1217074425970692e7
Steelmaking,3.066360320249578e9,9.29056741009371e10,0.0,4.576107003101887e11,0.0,0.0,0.0,5.535827347313754e11
OneWayTransmissionLink{SteelScrap},0.0,0.0,2.273086863307313e8,2.4135246190769506e9,0.0,0.0,0.0,2.640833305407682e9
CementPlant{Coal},2.2040128479195264e8,5.3287745192146674e7,7.882649462935382e10,1.5769678093022516e11,0.0,0.0,0.0,2.3679696458956308e11
ThermalPower{Coal},79759.34870872062,5.222329016462976e10,7.230881166553912e10,4.076394735924517e11,2.672872508659566e7,0.0,0.0,5.321983839070559e11
ThermalPower{NaturalGas},157955.50712178467,1.0797801278564362e10,5.377767631240167e9,7.343120428017241e10,1.360454943497467e9,0.0,0.0,9.096738608898152e10
ThermalPowerCCS{Coal},373694.2565288453,2.652175026017839e7,3.1301557329736754e7,1.4197003382582226e8,1.6439021121969083e7,0.0,0.0,2.1660605679423532e8
ThermalPowerCCS{NaturalGas},439045.0652975343,2.2724920231867015e7,1.4114954050831458e7,1.1498094486130527e8,1.451507039218053e7,0.0,0.0,1.667749346014818e8
ThermalPower{Uranium},0.0,1.2078989939418346e10,4.590871822987653e9,1.8349864623268135e10,0.0,0.0,0.0,3.501972638567413e10
BECCSElectricity,1.6144694405267366e10,3.6116025936706553e9,0.0,8.212048195293529e10,0.0,0.0,0.0,1.018767789518733e11
HydroRes,0.0,8.321414281706969e10,0.0,0.0,0.0,0.0,0.0,8.321414281706969e10
VRE{Generic},2.1513561334354854e12,3.085949482444855e11,0.0,0.0,0.0,0.0,0.0,2.4599510816799707e12
Electrolyzer,1.7372239354770079e9,3.955779958584384e8,0.0,0.0,0.0,0.0,0.0,2.1328019313354464e9
ThermalHydrogen{NaturalGas},4.5672694520432186e8,2.742109743166838e9,2.145910896092288e9,3.575441559399795e10,6.515626583030001e6,0.0,0.0,4.1105678805044426e10
ThermalHydrogenCCS{NaturalGas},1.0233676484364163e7,4.177820674098721e7,2.667049958115825e7,1.638537009246318e8,537173.3230571924,0.0,0.0,2.4307325705419865e8
ThermalHydrogen{Coal},76972.10469058664,4.915748673584852e9,2.1588054384179773e9,1.021520260217842e10,1.7249747459742425e6,0.0,0.0,1.7291558661031914e10
ThermalHydrogenCCS{Coal},2.3682062664839912e7,6.197381737300052e7,2.39601332157023e7,9.303378957165235e7,266559.91669430875,0.0,0.0,2.029163627418894e8
OneWayTransmissionLink{Electricity},2.5978426764416164e10,1.0233791282119928e10,0.0,0.0,0.0,0.0,0.0,3.6212218046536095e10
Battery,5.147203338116799e9,1.3865925739367e10,2.356919127274707e8,0.0,0.0,0.0,0.0,1.924882099021127e10
GasStorage{Hydrogen},3.1894829970682304e7,1.6426786462491494e7,0.0,0.0,0.0,0.0,0.0,4.83216164331738e7
TransmissionLink{Electricity},2.8605877308631332e10,7.78883878196819e9,0.0,0.0,0.0,0.0,0.0,3.6394716090599525e10
CO2Injection,1.314718586262711e6,2.0950417248432368e7,0.0,0.0,0.0,0.0,0.0,2.226513583469508e7
OneWayTransmissionLink{CO2Captured},106739.42947690742,351954.10273246287,0.0,0.0,0.0,0.0,0.0,458693.5322093703
Node{Electricity},0.0,0.0,0.0,0.0,0.0,5.9602026190720364e7,0.0,5.9602026190720364e7
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,1.5055963623468524e7,0.0,1.5055963623468524e7
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.2301169064942118e7,2.2301169064942118e7
Total,2.2389223233525625e12,7.65848104090828e11,2.9023644046404486e11,2.0076535555435566e12,1.427182094666968e9,7.465798981418888e7,2.2301169064942118e7,5.304184564704539e12
