zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,3.004477713880377e9,5.968391716632962e9,2.6282864222463506e8,2.82113753142744e10,3.205706886110901e6,0.0,0.0,3.745027909389848e10
Region2Tianjin,9.620422716449438e7,2.5400249593459144e9,1.16008570272227e9,1.753925969816767e10,3.3409619031115533e6,0.0,0.0,2.133891554930346e10
Region12Anhui,3.099371326440133e10,7.172988376160869e9,1.0783846295226471e9,3.66185968228656e10,3.2893017966588805e6,0.0,0.0,7.58669723947471e10
Region9Shanghai,1.9619394366981598e10,4.858714877736706e9,2.9940403724622164e9,3.3768352417902855e10,3.2987814958160366e6,0.0,0.0,6.124380081657919e10
Region22Chongqing,5.343241541102235e9,1.681902520383618e10,5.902948345839719e9,2.109863777139066e10,3.5835023293520156e6,0.0,0.0,4.9167436364498146e10
Region13Fujian,7.551763643869911e7,9.157245101121962e9,5.061318228746536e9,6.0520192890167984e10,3.5238148255922454e6,0.0,0.0,7.481779767130078e10
Region28Gansu,7.118267062421007e10,6.536056623543838e9,6.656265379317272e8,1.0851850577206e10,3.2566246867380994e6,0.0,0.0,8.923946098757837e10
Region19Guangdong,1.755961468839718e11,2.0986566886034763e10,8.346081754234615e9,1.060424108121482e11,8.063817181464649e6,0.0,0.0,3.1097927015357086e11
Region20Guangxi,8.832929493528992e7,2.626626106861585e10,8.046500886777898e9,5.575866060676512e10,4.10448414044587e6,0.0,0.0,9.01638563412346e10
Region24Guizhou,2.9414713378336566e11,3.2690945506863125e10,1.1905637592231747e10,6.129213637238523e10,2.79715635946494e6,0.0,0.0,4.000386504112052e11
Region21Hainan,5.350613833327988e10,2.9306067734074626e9,1.1130910149252324e9,1.0847182249218874e10,1.6462573294612994e7,0.0,0.0,6.841348094412606e10
Region3Hebei,2.007418734358093e8,2.7659677522869522e10,8.821547140024107e9,1.5011029414327887e11,3.3484015322278943e6,0.0,0.0,1.8679560908114053e11
Region8Heilongjiang,4.3311045918619644e10,4.459586669606074e9,1.0254778468172176e9,1.6622318481478857e10,2.892928020220033e6,0.0,0.0,6.542132184454201e10
Region16Henan,1.148776314034406e9,2.382598469269387e10,7.91323441060618e9,4.885899629316028e10,5.88708511483567e6,0.0,0.0,8.175287879560957e10
Region17Hubei,2.8246382978480315e8,1.0565506059627613e10,7.437275147212689e8,2.942538527043435e10,3.1908726200205614e6,0.0,0.0,4.102027354718806e10
Region18Hunan,6.749462982468396e8,5.335637758981969e9,7.382351878681092e8,2.450137751344703e10,3.0558736884393957e6,0.0,0.0,3.1253252632232384e10
Region5Innermongolia,5.942838516325865e11,3.559293307620524e10,2.9439725413478622e10,1.2121101177124023e11,3.495872244189517e6,0.0,0.0,7.805310177657548e11
Region10Jiangsu,5.986449409240828e10,2.221740817693623e10,8.728410183952152e9,1.3637053615673634e11,3.51517741908244e6,0.0,0.0,2.271843637874521e11
Region14Jiangxi,1.2094924045837335e11,7.17568318594245e9,7.447275930371833e8,2.5367127179398914e10,2.271868343425871e6,0.0,0.0,1.542390502850953e11
Region7Jilin,1.4181431372492712e11,7.868005848237479e9,3.1948767852371794e8,1.2292181833564661e10,3.0402507112870626e6,0.0,0.0,1.6229702933596426e11
Region6Liaoning,7.901421930388114e7,1.0666405904779896e10,1.856509433180469e9,4.775985398026198e10,3.3615183116027256e6,0.0,0.0,6.036514505583782e10
Region30Ningxia,1.3256544401890813e11,7.871518136372359e9,5.497343277394104e9,3.540820761264531e10,3.1290627914785026e6,0.0,0.0,1.8134564210811136e11
Region29Qinghai,3.1761650804563175e10,5.247717549647736e9,6.518283241601629e8,5.708409279265324e9,2.9689719232916594e6,0.0,0.0,4.337257492955969e10
Region27Shaanxi,1.50140293581396e11,1.065550204115481e10,7.128767644943095e9,5.491024216217858e10,3.075509755681973e6,0.0,0.0,2.2283788093942816e11
Region15Shandong,5.0877458416603357e11,6.649297440738592e10,1.803170066847637e10,9.139199834305663e10,3.4561206664908496e6,0.0,0.0,6.846947137056189e11
Region4Shanxi,2.1642613218589382e10,7.19704954022187e10,3.731506203934408e10,1.5094923208767416e11,3.0052630108416593e6,0.0,0.0,2.8188040801083716e11
Region23Sichuan,4.665273724343812e8,1.7627909955835125e10,8.509056530769485e8,2.634660714313714e10,3.0174011348232655e6,0.0,0.0,4.529496752561842e10
Region26Tibet,5.977454642094031e10,1.6394625789903123e9,1.053243378262226e8,1.643181740505017e9,2.991241238153522e6,0.0,0.0,6.3165506319500015e10
Region31Xinjiang,6.066043384714778e11,2.8673533713827274e10,1.2634126735934948e10,5.3465238663873215e10,4.347380865193649e6,0.0,0.0,7.013815849659784e11
Region25Yunnan,6.798332911174662e10,2.387960082763888e10,4.1023036022307396e9,2.877643863001955e10,3.134447082740108e6,0.0,0.0,1.2474480661871852e11
Region11Zhejiang,7.48423702906719e7,1.1046439958986767e10,9.75204315430182e9,9.482179320228816e10,3.661811381492515e6,0.0,0.0,1.1569878049724892e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,1207.8948135462351,0.0,0.0,0.0,0.0,1207.8948135462351
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,662.7815998751598,0.0,0.0,0.0,0.0,662.7815998751598
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,672.117577604309,0.0,0.0,0.0,0.0,672.117577604309
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,1063.0067883985114,0.0,0.0,0.0,0.0,1063.0067883985114
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,43043.20502535104,0.0,0.0,0.0,0.0,43043.20502535104
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,83807.08099263372,0.0,0.0,0.0,0.0,83807.08099263372
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,96880.81668618807,0.0,0.0,0.0,0.0,96880.81668618807
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,3449.750332667686,0.0,0.0,0.0,0.0,3449.750332667686
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,2921.9709631772844,0.0,0.0,0.0,0.0,2921.9709631772844
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,3578.0589233120963,0.0,0.0,0.0,0.0,3578.0589233120963
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,2941.5881725133513,0.0,0.0,0.0,0.0,2941.5881725133513
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,5200.990452324314,0.0,0.0,0.0,0.0,5200.990452324314
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,3532.203383715851,0.0,0.0,0.0,0.0,3532.203383715851
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,780.1694821607083,0.0,0.0,0.0,0.0,780.1694821607083
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1269.1634911405868,0.0,0.0,0.0,0.0,1269.1634911405868
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,2534.962283638576,0.0,0.0,0.0,0.0,2534.962283638576
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,3127.1766249137327,0.0,0.0,0.0,0.0,3127.1766249137327
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,2851.338726152705,0.0,0.0,0.0,0.0,2851.338726152705
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,1983.2283152018017,0.0,0.0,0.0,0.0,1983.2283152018017
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,2532.486609262034,0.0,0.0,0.0,0.0,2532.486609262034
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,2102.4782228548365,0.0,0.0,0.0,0.0,2102.4782228548365
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,2966.1554650959733,0.0,0.0,0.0,0.0,2966.1554650959733
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,2473.256823696562,0.0,0.0,0.0,0.0,2473.256823696562
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,3181.5649151707694,0.0,0.0,0.0,0.0,3181.5649151707694
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,1796.3390966207864,0.0,0.0,0.0,0.0,1796.3390966207864
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,2589.9700788519654,0.0,0.0,0.0,0.0,2589.9700788519654
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,3031.609989344067,0.0,0.0,0.0,0.0,3031.609989344067
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,1998.5172719665693,0.0,0.0,0.0,0.0,1998.5172719665693
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,6667.766297545359,0.0,0.0,0.0,0.0,6667.766297545359
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,1065.7020622073528,0.0,0.0,0.0,0.0,1065.7020622073528
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,677.486523211031,0.0,0.0,0.0,0.0,677.486523211031
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,681.3889047905838,0.0,0.0,0.0,0.0,681.3889047905838
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,1132.5488619666155,0.0,0.0,0.0,0.0,1132.5488619666155
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,107357.82417885913,0.0,0.0,0.0,0.0,107357.82417885913
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,79495.63043082539,0.0,0.0,0.0,0.0,79495.63043082539
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,93373.73323313243,0.0,0.0,0.0,0.0,93373.73323313243
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,3872.639657572409,0.0,0.0,0.0,0.0,3872.639657572409
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,3181.704454254035,0.0,0.0,0.0,0.0,3181.704454254035
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,4040.016473905009,0.0,0.0,0.0,0.0,4040.016473905009
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,3107.7404187261477,0.0,0.0,0.0,0.0,3107.7404187261477
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,6068.197927892428,0.0,0.0,0.0,0.0,6068.197927892428
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,3699.2092551756714,0.0,0.0,0.0,0.0,3699.2092551756714
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,660.5940295557174,0.0,0.0,0.0,0.0,660.5940295557174
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,1253.2231472966319,0.0,0.0,0.0,0.0,1253.2231472966319
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,2535.666588187027,0.0,0.0,0.0,0.0,2535.666588187027
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,3137.2034045441387,0.0,0.0,0.0,0.0,3137.2034045441387
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,2858.6188627613005,0.0,0.0,0.0,0.0,2858.6188627613005
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,1978.4218603871504,0.0,0.0,0.0,0.0,1978.4218603871504
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,2533.613951800904,0.0,0.0,0.0,0.0,2533.613951800904
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,2087.8476444701378,0.0,0.0,0.0,0.0,2087.8476444701378
