type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},433861.96584164415,1.0251382138370424e11,4.393449487873037e10,5.197797526636784e10,0.0,0.0,0.0,1.984267253907683e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.1522280428401937e9,0.0,0.0,0.0,0.0,2.1522280428401937e9
AluminumRefining,4.413702058863922e8,1.6661504811896788e10,4.274390048743467e10,7.779187173737891e11,0.0,0.0,0.0,8.37765492879007e11
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.2848885039625933e9,9.18581798589669e10,0.0,0.0,0.0,9.31430683629295e10
AluminumSmelting,195383.6151470759,2.7185781909920937e10,7.237780476899915e9,3.939920824118905e10,0.0,0.0,0.0,7.382296601162505e10
ThermalAmmonia{Coal},1.5585742054028448e6,1.5502679453248837e10,0.0,8.450843736624991e10,0.0,0.0,0.0,1.0001267539370415e11
ThermalAmmoniaCCS{Coal},2.2760469983627195e6,2.80646017520055e7,0.0,4.591333021612848e7,0.0,0.0,0.0,7.62539789664967e7
ThermalAmmonia{CokingOvenGas},0.0,9.860082792496493e6,0.0,5.087725298189981e6,0.0,0.0,0.0,1.4947808090686474e7
ThermalAmmonia{NaturalGas},2.5195983114801953e6,6.509914880245869e8,0.0,6.865625368849218e9,0.0,0.0,0.0,7.519136455185286e9
ThermalAmmoniaCCS{NaturalGas},3.681367299611938e6,2.2687779544149954e7,0.0,5.3902500251557976e7,0.0,0.0,0.0,8.027164709531987e7
SyntheticAmmonia,1.4980882417333549e7,2.2725473350488923e7,0.0,0.0,0.0,0.0,0.0,3.7706355767822474e7
OneWayTransmissionLink{Cement},0.0,0.0,3.417701021516724e6,0.0,0.0,0.0,0.0,3.417701021516724e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,4.8081364575594025e10,0.0,0.0,0.0,0.0,4.8081364575594025e10
OneWayTransmissionLink{DRI},0.0,0.0,5.43597811413877e8,0.0,0.0,0.0,0.0,5.43597811413877e8
DRIMaking,4.62057430397098e9,1.3861697624582982e9,0.0,6.261410519662299e9,0.0,0.0,0.0,1.2268154586091576e10
ThermalMethanol{Coal},1.0728971240109589e7,1.5588489011563545e10,0.0,1.0865332839260248e11,0.0,0.0,0.0,1.2425254637540613e11
ThermalMethanolCCS{Coal},6.712852404817187e6,4.351629514004951e7,0.0,1.0033236576991996e8,0.0,0.0,0.0,1.5056151331478667e8
ThermalMethanol{CokingOvenGas},0.0,3.3100306741501167e7,0.0,1.64423277937319e7,0.0,0.0,0.0,4.9542634535233065e7
ThermalMethanol{NaturalGas},0.0,6.88210603587016e8,0.0,8.257147429171981e9,0.0,0.0,0.0,8.945358032758997e9
ThermalMethanolCCS{NaturalGas},9.597420767105214e6,3.6551964313943416e7,0.0,1.3239246520973958e8,0.0,0.0,0.0,1.785418502907882e8
SyntheticMethanol,3.449880131599119e8,1.6074571513378498e8,0.0,0.0,0.0,0.0,0.0,5.057337282936969e8
Steelmaking,3.264958345841824e9,1.3186024855633813e11,0.0,6.545779587109755e11,0.0,0.0,0.0,7.897031656131554e11
OneWayTransmissionLink{SteelScrap},0.0,0.0,5.114302091689122e8,5.041395900283478e9,0.0,0.0,0.0,5.55282610945239e9
CementPlant{Coal},99996.86368830431,7.079578294812462e7,1.0472545581012292e11,2.0943144393449713e11,0.0,0.0,0.0,3.142277955244319e11
ThermalPower{Coal},534540.6085682606,6.2701494649504974e10,3.536483351021458e10,2.0007095807544855e11,6.317553914309884e7,0.0,0.0,2.982009963149198e11
ThermalPower{NaturalGas},1.08082612162254e10,1.8222313510883152e10,2.019232236282977e10,2.6742116311758765e11,4.89414351136095e9,0.0,0.0,3.2153820371888696e11
