zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,9.594664127044842e8,4.699677373011402e9,5.358469276112299e8,2.1720856603681267e10,1.7636020592082223e8,0.0,0.0,2.8092207522929207e10
Region2Tianjin,1.035783537388241e10,2.1343875897098036e9,5.103286473033625e8,6.451708651615597e9,9.287215056453952e7,0.0,0.0,1.954713241307571e10
Region12Anhui,1.5905681256424213e10,1.1706626715242813e10,1.2028936357218447e9,5.019184091116733e10,2.4631182894810632e7,0.0,0.0,7.9031673701451e10
Region9Shanghai,7.525840540738657e9,5.212370764868624e9,3.325171658188605e9,3.0008988551447773e10,1.3060574548030347e8,0.0,0.0,4.620297726072396e10
Region22Chongqing,2.0782301145836452e10,1.5812333206329712e10,4.995367062641686e9,1.990243244333384e10,1.8942822090690546e7,0.0,0.0,6.151137668023238e10
Region13Fujian,1.81448172198383e10,1.7057982175789038e10,1.6582071280752468e9,4.242784831466426e10,3.2193813931099614e6,0.0,0.0,7.929207421975996e10
Region28Gansu,3.3154099946140278e10,2.218829794609017e10,6.606918459542811e8,1.344186956332671e10,4.791884809410246e6,0.0,0.0,6.944975118632086e10
Region19Guangdong,3.4100815485939827e10,2.1004275699308254e10,5.506069076038076e9,9.506409516913037e10,7.630495138989868e8,0.0,0.0,1.5643830494431552e11
Region20Guangxi,5.213477921909214e9,2.413879556656034e10,4.691456773141858e9,5.140615826294947e10,9.229578948337447e6,0.0,0.0,8.545911810350922e10
Region24Guizhou,2.1669738186886974e10,3.054059457320323e10,7.160309696604516e9,3.1303075649738113e10,2.8035352546146214e6,0.0,0.0,9.067652164168744e10
Region21Hainan,2.400019516652634e9,3.3521392008555655e9,5.955693003514081e8,1.027775665944414e10,6.124022569546539e7,0.0,0.0,1.6686724902999212e10
Region3Hebei,2.968558006213161e10,3.2089250324411625e10,2.2620340034802737e9,9.135325310642921e10,6.831068405754831e7,0.0,0.0,1.5545842818051028e11
Region8Heilongjiang,1.5838697976230091e10,7.480653596419156e9,2.3700451798710692e8,1.2250506095377325e10,3.0054287821219154e6,0.0,0.0,3.58098676147958e10
Region16Henan,7.224006328898405e8,4.213331346870239e9,1.0747842466393719e9,4.06551152618054e10,6.5312514169798695e7,0.0,0.0,4.673094400237465e10
Region17Hubei,7.866124959298059e9,9.644228113271843e9,8.313859713562303e8,4.2372054221352776e10,3.1906291528922617e7,0.0,0.0,6.074569955680783e10
Region18Hunan,5.7536988151693825e10,1.0659289788427689e10,8.791852823947208e8,3.94303918099873e10,6.599967615028038e6,0.0,0.0,1.0851245500011856e11
Region5Innermongolia,1.0674596101787054e11,4.394736198851347e10,6.438619530637954e9,3.904339489131989e10,5.691017945131436e6,0.0,0.0,1.96181028446287e11
Region10Jiangsu,8.217058797063499e9,1.9888820671427128e10,3.741522707166231e9,1.01028718199091e11,3.453353799295468e8,0.0,0.0,1.3322145575467741e11
Region14Jiangxi,4.0140836624635158e9,8.505862836627092e9,8.07591218299952e8,3.6055097093095535e10,2.345719044911417e6,0.0,0.0,4.938498052953101e10
Region7Jilin,2.70560797305463e9,7.762042015150646e9,3.3591238611655384e8,1.3755990350135948e10,3.0054370204890245e6,0.0,0.0,2.4562558161478268e10
Region6Liaoning,5.439931190773197e10,1.232631580794972e10,7.568558526360958e8,2.596125021080067e10,5.441140424146753e6,0.0,0.0,9.34491749195426e10
Region30Ningxia,1.833155930309087e10,7.260414098605193e9,1.1182927683834138e9,1.1535580515861057e10,2.0947652338628273e7,0.0,0.0,3.826679433827917e10
Region29Qinghai,6.187009550110354e9,3.97904374615271e9,1.510006591487912e8,3.4356592012458587e9,3.140867207273136e6,0.0,0.0,1.3755854023864988e10
Region27Shaanxi,7.689840128467627e9,1.5059720195640665e10,1.1714481397209206e9,3.153293216218168e10,2.505099538307816e7,0.0,0.0,5.5478991621393974e10
Region15Shandong,8.597949459732597e9,1.9150936243292374e10,1.7967672691041193e9,4.833994480432252e10,5.860716279946366e7,0.0,0.0,7.794420493925107e10
Region4Shanxi,7.424958288776837e9,2.201119305503261e10,6.93546202709271e9,5.1221382377003815e10,3.993806383750179e7,0.0,0.0,8.763293381174348e10
Region23Sichuan,5.7132472477651215e10,2.3090965681499763e10,1.520778700887274e9,4.879978488774158e10,3.001971389520914e7,0.0,0.0,1.3057402146167502e11
Region26Tibet,2.764020212185035e10,3.360168124162547e9,4.5081496208914675e7,2.499171459305021e9,3.4083456924018892e6,0.0,0.0,3.3548031547219234e10
Region31Xinjiang,4.777782211975797e10,3.0254798127573692e10,3.326013198686303e9,2.6816832406959892e10,7.756298612303498e6,0.0,0.0,1.0818322215159018e11
Region25Yunnan,7.037327449659367e9,2.5717938759826275e10,2.4677633168815627e9,3.964179964584055e10,2.817142815502834e6,0.0,0.0,7.486764631502327e10
Region11Zhejiang,3.8345028927949667e9,2.024246652501551e10,2.4845292997433753e9,4.630529575586256e10,5.321590673065596e7,0.0,0.0,7.292001038014706e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,26090.08323322378,0.0,0.0,0.0,0.0,26090.08323322378
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,770.9086301460297,0.0,0.0,0.0,0.0,770.9086301460297
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,661.4066349821301,0.0,0.0,0.0,0.0,661.4066349821301
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,620.21971214095,0.0,0.0,0.0,0.0,620.21971214095
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,1.7130281372198437e6,0.0,0.0,0.0,0.0,1.7130281372198437e6
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,2125.4576295377965,0.0,0.0,0.0,0.0,2125.4576295377965
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,2817.1176038046374,0.0,0.0,0.0,0.0,2817.1176038046374
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,3326.326727990672,0.0,0.0,0.0,0.0,3326.326727990672
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,3465.897216609567,0.0,0.0,0.0,0.0,3465.897216609567
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,2507.7657442539994,0.0,0.0,0.0,0.0,2507.7657442539994
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,2433.461848866308,0.0,0.0,0.0,0.0,2433.461848866308
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,1744.2116606198476,0.0,0.0,0.0,0.0,1744.2116606198476
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,1551.8857707248023,0.0,0.0,0.0,0.0,1551.8857707248023
