type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},145809.4372870063,4.19144492714056e10,1.796333540203097e10,2.1252043657391838e10,0.0,0.0,0.0,8.112997414026569e10
OneWayTransmissionLink{Aluminum},0.0,0.0,8.799735675102018e8,0.0,0.0,0.0,0.0,8.799735675102018e8
AluminumRefining,1.4833275655011976e8,6.8123282187443695e9,1.7476541450315918e10,3.1806476606308325e11,0.0,0.0,0.0,3.4250196848869366e11
OneWayTransmissionLink{AluminumScrap},0.0,0.0,5.2534763890201926e8,3.755771629516439e10,0.0,0.0,0.0,3.808306393406641e10
AluminumSmelting,65663.2229202923,1.1115350704778337e10,2.9592846949008102e9,1.6109009427887476e10,0.0,0.0,0.0,3.0183710490789543e10
ThermalAmmonia{Coal},523795.2292475847,6.338523554613597e9,0.0,3.455265410246918e10,0.0,0.0,0.0,4.089170145231202e10
ThermalAmmoniaCCS{Coal},1.1254354179190975e6,1.1474670542753018e7,0.0,1.8772414531521134e7,0.0,0.0,0.0,3.137252049219325e7
ThermalAmmonia{CokingOvenGas},0.0,4.0314558021504916e6,0.0,2.0801995383593156e6,0.0,0.0,0.0,6.111655340509808e6
ThermalAmmonia{NaturalGas},846769.8044781127,2.661684964293099e8,0.0,2.8071230040484095e9,0.0,0.0,0.0,3.0741382702821975e9
ThermalAmmoniaCCS{NaturalGas},1.8203231955811288e6,9.276269013763165e6,0.0,2.203891711283914e7,0.0,0.0,0.0,3.3135509322183434e7
SyntheticAmmonia,5.034675097866223e6,9.291680741784962e6,0.0,0.0,0.0,0.0,0.0,1.4326355839651186e7
OneWayTransmissionLink{Cement},0.0,0.0,1.3973828519669787e6,0.0,0.0,0.0,0.0,1.3973828519669787e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,1.9658850769600258e10,0.0,0.0,0.0,0.0,1.9658850769600258e10
OneWayTransmissionLink{DRI},0.0,0.0,2.2225883869134498e8,0.0,0.0,0.0,0.0,2.2225883869134498e8
