scenario,period,technology,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Fixed O&M,6044265765.529925,67158508.50588806,ok,90.0
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Variable O&M,0.0,67158508.50588806,ok,0.0
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Coal,4808212699.822554,67158508.50588806,ok,71.59498932888002
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Natural Gas,0.0,67158508.50588806,structural_zero,0.0
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Steel Scrap,1370033573.5201166,67158508.50588806,ok,20.400000000000002
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,DRI,0.0,67158508.50588806,structural_zero,0.0
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Hydrogen,0.0,67158508.50588806,structural_zero,0.0
no_cap,1,bfbof,Region6Liaoning,6,Liaoning,Electricity,496519747.148036,67158508.50588806,ok,7.393251550613339
no_cap,1,bfbof,Region7Jilin,7,Jilin,Investment,1931.907776207044,13192553.436079483,ok,0.0001464392610246013
no_cap,1,bfbof,Region7Jilin,7,Jilin,Fixed O&M,1187329809.2471533,13192553.436079483,ok,89.99999999999999
no_cap,1,bfbof,Region7Jilin,7,Jilin,Variable O&M,0.0,13192553.436079483,ok,0.0
no_cap,1,bfbof,Region7Jilin,7,Jilin,Coal,983288363.8168328,13192553.436079483,ok,74.53358961789
no_cap,1,bfbof,Region7Jilin,7,Jilin,Natural Gas,0.0,13192553.436079483,structural_zero,0.0
no_cap,1,bfbof,Region7Jilin,7,Jilin,Steel Scrap,269128090.0960214,13192553.436079483,ok,20.399999999999995
no_cap,1,bfbof,Region7Jilin,7,Jilin,DRI,0.0,13192553.436079483,structural_zero,0.0
no_cap,1,bfbof,Region7Jilin,7,Jilin,Hydrogen,0.0,13192553.436079483,structural_zero,0.0
no_cap,1,bfbof,Region7Jilin,7,Jilin,Electricity,81867862.83297479,13192553.436079483,ok,6.205611614888709
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Investment,2327.5457811753868,9154189.45391104,ok,0.00025426017157433473
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Fixed O&M,823877050.8519937,9154189.45391104,ok,90.00000000000001
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Variable O&M,0.0,9154189.45391104,ok,0.0
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Coal,622379841.3122078,9154189.45391104,ok,67.98852530261999
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Natural Gas,0.0,9154189.45391104,structural_zero,0.0
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Steel Scrap,186745464.8597852,9154189.45391104,ok,20.4
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,DRI,0.0,9154189.45391104,structural_zero,0.0
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Hydrogen,0.0,9154189.45391104,structural_zero,0.0
no_cap,1,bfbof,Region8Heilongjiang,8,Heilongjiang,Electricity,58332676.9959968,9154189.45391104,ok,6.372238338488256
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Investment,4433.163065133125,16197242.325902425,ok,0.00027369863189881816
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Fixed O&M,1457751809.3312182,16197242.325902425,ok,90.0
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Variable O&M,0.0,16197242.325902425,ok,0.0
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Coal,1176949471.076414,16197242.325902425,ok,72.66357120522001
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Natural Gas,0.0,16197242.325902425,structural_zero,0.0
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Steel Scrap,330423743.4484095,16197242.325902425,ok,20.400000000000002
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,DRI,0.0,16197242.325902425,structural_zero,0.0
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Hydrogen,0.0,16197242.325902425,structural_zero,0.0
no_cap,1,bfbof,Region9Shanghai,9,Shanghai,Electricity,135877956.23851037,16197242.325902425,ok,8.38895618800591
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Investment,2962.5224915966396,102728084.12046492,ok,2.8838486738666456e-05
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Fixed O&M,9245527570.84184,102728084.12046492,ok,89.99999999999999
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Variable O&M,0.0,102728084.12046492,ok,0.0
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Coal,7972291319.492751,102728084.12046492,ok,77.60576270597998
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Natural Gas,0.0,102728084.12046492,structural_zero,0.0
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Steel Scrap,2095652916.057484,102728084.12046492,ok,20.399999999999995
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,DRI,0.0,102728084.12046492,structural_zero,0.0
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Hydrogen,0.0,102728084.12046492,structural_zero,0.0
no_cap,1,bfbof,Region10Jiangsu,10,Jiangsu,Electricity,826648760.7771769,102728084.12046492,ok,8.046959775944039
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Investment,4248.673452568023,8996515.381718263,ok,0.0004722576767002159
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Fixed O&M,809686384.3546437,8996515.381718263,ok,90.0
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Variable O&M,0.0,8996515.381718263,ok,0.0
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Coal,676551031.8370856,8996515.381718263,ok,75.20145335514002
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Natural Gas,0.0,8996515.381718263,structural_zero,0.0
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Steel Scrap,183528913.7870526,8996515.381718263,ok,20.400000000000006
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,DRI,0.0,8996515.381718263,structural_zero,0.0
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Hydrogen,0.0,8996515.381718263,structural_zero,0.0
no_cap,1,bfbof,Region11Zhejiang,11,Zhejiang,Electricity,72888049.08839235,8996515.381718263,ok,8.10180897778572
no_cap,1,bfbof,Region12Anhui,12,Anhui,Investment,2888.6087561870586,32455797.991327465,ok,8.900131671262329e-05
no_cap,1,bfbof,Region12Anhui,12,Anhui,Fixed O&M,2921021819.2194724,32455797.991327465,ok,90.00000000000001
no_cap,1,bfbof,Region12Anhui,12,Anhui,Variable O&M,0.0,32455797.991327465,ok,0.0
no_cap,1,bfbof,Region12Anhui,12,Anhui,Coal,2648813253.8969245,32455797.991327465,ok,81.61294492296001
no_cap,1,bfbof,Region12Anhui,12,Anhui,Natural Gas,0.0,32455797.991327465,structural_zero,0.0
no_cap,1,bfbof,Region12Anhui,12,Anhui,Steel Scrap,662098279.0230805,32455797.991327465,ok,20.400000000000006
no_cap,1,bfbof,Region12Anhui,12,Anhui,DRI,0.0,32455797.991327465,structural_zero,0.0
no_cap,1,bfbof,Region12Anhui,12,Anhui,Hydrogen,0.0,32455797.991327465,structural_zero,0.0
no_cap,1,bfbof,Region12Anhui,12,Anhui,Electricity,251034225.4328943,32455797.991327465,ok,7.734649614838412
no_cap,1,bfbof,Region13Fujian,13,Fujian,Investment,7351.958269920604,25255081.920346137,ok,0.00029110807452965257
no_cap,1,bfbof,Region13Fujian,13,Fujian,Fixed O&M,2272957372.831152,25255081.920346137,ok,89.99999999999999
no_cap,1,bfbof,Region13Fujian,13,Fujian,Variable O&M,0.0,25255081.920346137,ok,0.0
no_cap,1,bfbof,Region13Fujian,13,Fujian,Coal,1926205989.1426327,25255081.920346137,ok,76.27003528310998
no_cap,1,bfbof,Region13Fujian,13,Fujian,Natural Gas,0.0,25255081.920346137,structural_zero,0.0
no_cap,1,bfbof,Region13Fujian,13,Fujian,Steel Scrap,515203671.17506117,25255081.920346137,ok,20.4
no_cap,1,bfbof,Region13Fujian,13,Fujian,DRI,0.0,25255081.920346137,structural_zero,0.0
no_cap,1,bfbof,Region13Fujian,13,Fujian,Hydrogen,0.0,25255081.920346137,structural_zero,0.0
no_cap,1,bfbof,Region13Fujian,13,Fujian,Electricity,200377272.9589331,25255081.920346137,ok,7.934136725072511
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Investment,3034.57437729088,20147903.725076053,ok,0.00015061489367323375
no_cap,1,bfbof,Region14Jiangxi,14,Jiangxi,Fixed O&M,1813311335.2568448,20147903.725076053,ok,90.0
