2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region19Guangdong.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region20Guangxi.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region21Hainan.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region22Chongqing.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region23Sichuan.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region24Guizhou.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region25Yunnan.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region26Tibet.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region27Shaanxi.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region28Gansu.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region29Qinghai.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region30Ningxia.
2026-09-17 11:41:05 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of cog_Region31Xinjiang.
2026-09-17 11:41:34 | INFO | 1 | MacroEnergy | generate_system.jl:51 | Done generating system. It took 48.07 seconds
