Type,id,location,integer_decisions,transforms--timedata,edges--edge--commodity,edges--edge--end_vertex,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--existing_capacity,edges--edge--max_capacity,edges--edge--capacity_size,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--constraints--MaxNewCapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--TDR_path,edges--edge--constraints--MinCapacityConstraint,edges--edge--min_capacity
VRE,Region17Hubei_utility_scale_solar_pv,Region17Hubei,FALSE,Electricity,Electricity,elec_Region17Hubei,TRUE,TRUE,TRUE,21478,187000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region17Hubei_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region18Hunan_utility_scale_solar_pv,Region18Hunan,FALSE,Electricity,Electricity,elec_Region18Hunan,TRUE,TRUE,TRUE,4861,156000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region18Hunan_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region19Guangdong_utility_scale_solar_pv,Region19Guangdong,FALSE,Electricity,Electricity,elec_Region19Guangdong,TRUE,TRUE,TRUE,13733,189000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region19Guangdong_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region20Guangxi_utility_scale_solar_pv,Region20Guangxi,FALSE,Electricity,Electricity,elec_Region20Guangxi,TRUE,TRUE,TRUE,10886,182000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region20Guangxi_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region21Hainan_utility_scale_solar_pv,Region21Hainan,FALSE,Electricity,Electricity,elec_Region21Hainan,TRUE,TRUE,TRUE,4725,78000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region21Hainan_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region22Chongqing_utility_scale_solar_pv,Region22Chongqing,FALSE,Electricity,Electricity,elec_Region22Chongqing,TRUE,TRUE,TRUE,1072,39000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region22Chongqing_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region23Sichuan_utility_scale_solar_pv,Region23Sichuan,FALSE,Electricity,Electricity,elec_Region23Sichuan,TRUE,TRUE,TRUE,8893,234000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region23Sichuan_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region24Guizhou_utility_scale_solar_pv,Region24Guizhou,FALSE,Electricity,Electricity,elec_Region24Guizhou,TRUE,TRUE,TRUE,18760,29000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region24Guizhou_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region25Yunnan_utility_scale_solar_pv,Region25Yunnan,FALSE,Electricity,Electricity,elec_Region25Yunnan,TRUE,TRUE,TRUE,34331,57000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region25Yunnan_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region26Tibet_utility_scale_solar_pv,Region26Tibet,FALSE,Electricity,Electricity,elec_Region26Tibet,TRUE,TRUE,TRUE,3984,3370000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region26Tibet_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region27Shaanxi_utility_scale_solar_pv,Region27Shaanxi,FALSE,Electricity,Electricity,elec_Region27Shaanxi,TRUE,TRUE,TRUE,25239,285000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region27Shaanxi_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region28Gansu_utility_scale_solar_pv,Region28Gansu,FALSE,Electricity,Electricity,elec_Region28Gansu,TRUE,TRUE,TRUE,29549,3878000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region28Gansu_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region29Qinghai_utility_scale_solar_pv,Region29Qinghai,FALSE,Electricity,Electricity,elec_Region29Qinghai,TRUE,TRUE,TRUE,36043,4519000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region29Qinghai_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region30Ningxia_utility_scale_solar_pv,Region30Ningxia,FALSE,Electricity,Electricity,elec_Region30Ningxia,TRUE,TRUE,TRUE,24493,218000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region30Ningxia_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
VRE,Region31Xinjiang_utility_scale_solar_pv,Region31Xinjiang,FALSE,Electricity,Electricity,elec_Region31Xinjiang,TRUE,TRUE,TRUE,56479,20383000,200,504904.811249897,2524.524056661852,0,0.08,20,20,FALSE,TRUE,TRUE,system/vre_availability_2.csv,Region31Xinjiang_utility_scale_solar_pv,system/vre_availability_2.csv,TRUE,0
