Type,id,edges--transmission_edge--unidirectional,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--can_retire,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--loss_fraction,edges--transmission_edge--end_vertex,edges--transmission_edge--max_capacity,edges--transmission_edge--max_new_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost
TransmissionLink,TL_E_ExistingCandidate_AC_R5Innermongolia_to_R8Heilongjiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02384,elec_Region8Heilongjiang,12000,9600,TRUE,2400,176979.0444444444,1562.890555555556
TransmissionLink,TL_E_ExistingCandidate_AC_R6Liaoning_to_R7Jilin,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region6Liaoning,0.02306666666666667,elec_Region7Jilin,14400,9600,TRUE,4800,63133.70902777778,665.9888888888888
TransmissionLink,TL_E_ExistingCandidate_AC_R7Jilin_to_R8Heilongjiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region7Jilin,0.02306666666666667,elec_Region8Heilongjiang,14400,9600,TRUE,4800,57647.54930555556,629.4138888888889
TransmissionLink,TL_E_ExistingCandidate_AC_R9Shanghai_to_R10Jiangsu,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region9Shanghai,0.01584371584699453,elec_Region10Jiangsu,36600,22000,TRUE,14600,130234.3434722222,1155.574605343048
TransmissionLink,TL_E_ExistingCandidate_AC_R9Shanghai_to_R11Zhejiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region9Shanghai,0.01577023809523809,elec_Region11Zhejiang,33600,20000,TRUE,13600,100888.8888888889,886.3272156084656
TransmissionLink,TL_E_Existing_AC_R10Jiangsu_to_R11Zhejiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.0083,elec_Region11Zhejiang,3600,0,FALSE,3600,41281.94444444445,412.8194444444444
TransmissionLink,TL_E_ExistingCandidate_AC_R10Jiangsu_to_R12Anhui,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.01774632034632035,elec_Region12Anhui,46200,31600,TRUE,14600,112680.2544831223,1091.251623376623
TransmissionLink,TL_E_Candidate_AC_R10Jiangsu_to_R15Shandong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.015,elec_Region15Shandong,20000,20000,TRUE,0,121928.4869444444,1219.284722222222
TransmissionLink,TL_E_ExistingCandidate_AC_R11Zhejiang_to_R12Anhui,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.01756396396396397,elec_Region12Anhui,44400,29600,TRUE,14800,130790.5441141141,1234.148748748749
TransmissionLink,TL_E_ExistingCandidate_AC_R11Zhejiang_to_R13Fujian,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.01778255033557047,elec_Region13Fujian,44700,30600,TRUE,14100,143535.6124945534,1370.660831469053
