sweep,slack,seed,direction,status,rank,violation_model_units,classification,original_constraint,mapped_constraint
MGA_sweep_qR2KFX,slack_0.10,seed_6,max,LOCALLY_SOLVED,27,41417.01267415331,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316533] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316533]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_6,max,LOCALLY_SOLVED,28,41417.01267415331,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8197904] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8197904]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_6,max,LOCALLY_SOLVED,29,41417.01267415331,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079409] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079409]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_6,max,LOCALLY_SOLVED,30,41417.01267415331,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079478] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079478]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,1,3.4541573117850995e8,Anhui-Hubei new-unit lower bound (index match),_[35595] ≥ 0,vNEWUNIT_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 ≥ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,2,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316383] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316383]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,3,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316389] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316389]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,4,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316481] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316481]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,5,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[8257881] + _[12316344] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period3 + _[12316344]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,6,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434974] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434974]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,7,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079428] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079428]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,8,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434877] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434877]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,9,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079519] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079519]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_12,max,LOCALLY_SOLVED,10,345415.73117850994,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079572] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079572]{unmapped} ≤ 0
