period,province,technology,Investment_cap,FixedOM_cap,VariableOM_cap,Startup_cap,NonServedDemand_cap,Supply_cap,UnmetPolicyPenalty_cap,Total_cap,Investment_no_cap,FixedOM_no_cap,VariableOM_no_cap,Startup_no_cap,NonServedDemand_no_cap,Supply_no_cap,UnmetPolicyPenalty_no_cap,Total_no_cap,Investment_diff,FixedOM_diff,VariableOM_diff,Startup_diff,NonServedDemand_diff,Supply_diff,UnmetPolicyPenalty_diff,Total_diff,Total_pct_change
1,Region10Jiangsu,bfbof,2150.514298616032,9245566617.230965,0.0,0.0,0.0,0.0,0.0,9245568767.745262,1516.5980348517191,9245539528.436306,0.0,0.0,0.0,0.0,0.0,9245541045.03434,633.916263764313,27088.79465866089,0.0,0.0,0.0,0.0,0.0,27722.71092224121,0.0002998495251625184
1,Region10Jiangsu,bfbofccs,5970.317929220681,895.5973913570186,0.0,0.0,0.0,0.0,0.0,6865.9153205777,50264.89593012576,7540.152837007935,0.0,0.0,0.0,0.0,0.0,57805.048767133696,-44294.57800090507,-6644.555445650916,0.0,0.0,0.0,0.0,0.0,-50939.13344655599,-88.12229127556506
1,Region10Jiangsu,drieaf,953.4851921332096,143.10898905435153,0.0,0.0,0.0,0.0,0.0,1096.594181187561,2591.682353010699,388.9866822782786,0.0,0.0,0.0,0.0,0.0,2980.669035288978,-1638.1971608774893,-245.87769322392705,0.0,0.0,0.0,0.0,0.0,-1884.0748541014173,-63.20979725676772
1,Region10Jiangsu,scrapeaf100,4179.672816020504,627.6674452902763,0.0,0.0,0.0,0.0,0.0,4807.34026131078,1209.3409593159004,181.6084616741397,0.0,0.0,0.0,0.0,0.0,1390.9494209900402,2970.3318567046035,446.05898361613663,0.0,0.0,0.0,0.0,0.0,3416.3908403207397,245.61574912544592
1,Region10Jiangsu,scrapeaf56,894.1238516750213,36498.45248904076,0.0,0.0,0.0,0.0,0.0,37392.57634071579,705.3223494695202,25953.96923660807,0.0,0.0,0.0,0.0,0.0,26659.29158607759,188.80150220550115,10544.483252432692,0.0,0.0,0.0,0.0,0.0,10733.284754638196,40.26095262127479
1,Region11Zhejiang,bfbof,2535.71915224869,809686184.6127595,0.0,0.0,0.0,0.0,0.0,809688720.3319117,2074.598733490435,809686975.0713997,0.0,0.0,0.0,0.0,0.0,809689049.6701332,461.12041875825525,-790.4586402177811,0.0,0.0,0.0,0.0,0.0,-329.3382215499878,-4.067465426192437e-05
1,Region11Zhejiang,bfbofccs,13867.597563967698,2080.255080201332,0.0,0.0,0.0,0.0,0.0,15947.85264416903,66532.84178463329,9980.480143318731,0.0,0.0,0.0,0.0,0.0,76513.32192795203,-52665.24422066559,-7900.225063117399,0.0,0.0,0.0,0.0,0.0,-60565.46928378299,-79.15676349905947
1,Region11Zhejiang,drieaf,911141.7765128335,136753.64819270378,0.0,0.0,0.0,0.0,0.0,1047895.4247055376,123607.8669383824,18552.356158925384,0.0,0.0,0.0,0.0,0.0,142160.22309730778,787533.9095744512,118201.2920337784,0.0,0.0,0.0,0.0,0.0,905735.2016082299,637.1228054335986
1,Region11Zhejiang,scrapeaf100,415.1606141363879,62.3452632611161,0.0,0.0,0.0,0.0,0.0,477.505877397504,9964.987712765094,1496.456458516627,0.0,0.0,0.0,0.0,0.0,11461.44417128172,-9549.827098628706,-1434.111195255511,0.0,0.0,0.0,0.0,0.0,-10983.938293884217,-95.83380706426192
1,Region11Zhejiang,scrapeaf56,769.4811776526673,1391.9364328829697,0.0,0.0,0.0,0.0,0.0,2161.417610535637,909.5156000612676,10066.755982363278,0.0,0.0,0.0,0.0,0.0,10976.271582424546,-140.03442240860034,-8674.819549480308,0.0,0.0,0.0,0.0,0.0,-8814.85397188891,-80.30827139885508
1,Region12Anhui,bfbof,2066.817228627324,2921014158.181179,0.0,0.0,0.0,0.0,0.0,2921016224.998408,1407.887581256242,2921016082.234508,0.0,0.0,0.0,0.0,0.0,2921017490.1220894,658.929647371082,-1924.0533289909363,0.0,0.0,0.0,0.0,0.0,-1265.1236815452576,-4.331106149906618e-05
1,Region12Anhui,bfbofccs,8581.548514306354,1287.303717210867,0.0,0.0,0.0,0.0,0.0,9868.85223151722,32507.269584519425,4876.361055672489,0.0,0.0,0.0,0.0,0.0,37383.630640191914,-23925.72107021307,-3589.057338461622,0.0,0.0,0.0,0.0,0.0,-27514.778408674694,-73.60114022497586
1,Region12Anhui,drieaf,441659.16211341944,66288.80733347886,0.0,0.0,0.0,0.0,0.0,507947.9694468983,332913.5685249733,49967.1359630611,0.0,0.0,0.0,0.0,0.0,382880.7044880344,108745.59358844615,16321.671370417767,0.0,0.0,0.0,0.0,0.0,125067.2649588639,32.664812693054486
1,Region12Anhui,scrapeaf100,399.3613917016023,59.97267142923763,0.0,0.0,0.0,0.0,0.0,459.3340631308399,1779.3187087499464,267.20283558979736,0.0,0.0,0.0,0.0,0.0,2046.5215443397435,-1379.957317048344,-207.23016416055972,0.0,0.0,0.0,0.0,0.0,-1587.1874812089036,-77.55537612583345
