time,subperiod_index,weight
1,9,0.4931506849315068
2,9,0.4931506849315068
3,9,0.4931506849315068
4,9,0.4931506849315068
5,9,0.4931506849315068
6,9,0.4931506849315068
7,9,0.4931506849315068
8,9,0.4931506849315068
9,9,0.4931506849315068
10,9,0.4931506849315068
11,9,0.4931506849315068
12,9,0.4931506849315068
13,9,0.4931506849315068
14,9,0.4931506849315068
15,9,0.4931506849315068
16,9,0.4931506849315068
17,9,0.4931506849315068
18,9,0.4931506849315068
19,9,0.4931506849315068
20,9,0.4931506849315068
21,9,0.4931506849315068
22,9,0.4931506849315068
23,9,0.4931506849315068
24,9,0.4931506849315068
25,26,0.7232876712328766
26,26,0.7232876712328766
27,26,0.7232876712328766
28,26,0.7232876712328766
29,26,0.7232876712328766
30,26,0.7232876712328766
31,26,0.7232876712328766
32,26,0.7232876712328766
33,26,0.7232876712328766
34,26,0.7232876712328766
35,26,0.7232876712328766
36,26,0.7232876712328766
37,26,0.7232876712328766
38,26,0.7232876712328766
39,26,0.7232876712328766
40,26,0.7232876712328766
41,26,0.7232876712328766
42,26,0.7232876712328766
43,26,0.7232876712328766
44,26,0.7232876712328766
45,26,0.7232876712328766
46,26,0.7232876712328766
47,26,0.7232876712328766
48,26,0.7232876712328766
49,40,0.42739726027397257
50,40,0.42739726027397257
51,40,0.42739726027397257
52,40,0.42739726027397257
53,40,0.42739726027397257
54,40,0.42739726027397257
55,40,0.42739726027397257
56,40,0.42739726027397257
57,40,0.42739726027397257
58,40,0.42739726027397257
59,40,0.42739726027397257
60,40,0.42739726027397257
61,40,0.42739726027397257
62,40,0.42739726027397257
63,40,0.42739726027397257
64,40,0.42739726027397257
65,40,0.42739726027397257
66,40,0.42739726027397257
67,40,0.42739726027397257
68,40,0.42739726027397257
69,40,0.42739726027397257
70,40,0.42739726027397257
71,40,0.42739726027397257
72,40,0.42739726027397257
73,68,1.7753424657534245
74,68,1.7753424657534245
75,68,1.7753424657534245
76,68,1.7753424657534245
77,68,1.7753424657534245
78,68,1.7753424657534245
79,68,1.7753424657534245
80,68,1.7753424657534245
81,68,1.7753424657534245
82,68,1.7753424657534245
83,68,1.7753424657534245
84,68,1.7753424657534245
85,68,1.7753424657534245
86,68,1.7753424657534245
87,68,1.7753424657534245
88,68,1.7753424657534245
89,68,1.7753424657534245
90,68,1.7753424657534245
91,68,1.7753424657534245
92,68,1.7753424657534245
93,68,1.7753424657534245
94,68,1.7753424657534245
95,68,1.7753424657534245
96,68,1.7753424657534245
97,131,1.2493150684931507
98,131,1.2493150684931507
99,131,1.2493150684931507
100,131,1.2493150684931507
101,131,1.2493150684931507
102,131,1.2493150684931507
103,131,1.2493150684931507
104,131,1.2493150684931507
105,131,1.2493150684931507
106,131,1.2493150684931507
107,131,1.2493150684931507
108,131,1.2493150684931507
109,131,1.2493150684931507
110,131,1.2493150684931507
111,131,1.2493150684931507
112,131,1.2493150684931507
113,131,1.2493150684931507
114,131,1.2493150684931507
115,131,1.2493150684931507
116,131,1.2493150684931507
117,131,1.2493150684931507
118,131,1.2493150684931507
119,131,1.2493150684931507
120,131,1.2493150684931507
121,164,1.4136986301369863
122,164,1.4136986301369863
123,164,1.4136986301369863
124,164,1.4136986301369863
125,164,1.4136986301369863
126,164,1.4136986301369863
127,164,1.4136986301369863
128,164,1.4136986301369863
129,164,1.4136986301369863
130,164,1.4136986301369863
