zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,384931.2853842352,0.0,0.0,0.0,384931.2853842352
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,650590.352754801,0.0,0.0,0.0,650590.352754801
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,447610.38814674225,0.0,0.0,0.0,447610.38814674225
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,147446.5709619023,0.0,0.0,0.0,147446.5709619023
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,185573.9780201089,0.0,0.0,0.0,185573.9780201089
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,328989.7496843621,0.0,0.0,0.0,328989.7496843621
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,402374.88852400606,0.0,0.0,0.0,402374.88852400606
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,372696.96440103516,0.0,0.0,0.0,372696.96440103516
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,246290.73750079924,0.0,0.0,0.0,246290.73750079924
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,300695.6592420145,0.0,0.0,0.0,300695.6592420145
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,269341.68493925617,0.0,0.0,0.0,269341.68493925617
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,366623.15749565914,0.0,0.0,0.0,366623.15749565914
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,280591.2784139207,0.0,0.0,0.0,280591.2784139207
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,0.0,357525.14649357024,0.0,0.0,0.0,357525.14649357024
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,0.0,226529.8570059445,0.0,0.0,0.0,226529.8570059445
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,0.0,302035.0323535665,0.0,0.0,0.0,302035.0323535665
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,0.0,335121.553226342,0.0,0.0,0.0,335121.553226342
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,0.0,241416.45333297842,0.0,0.0,0.0,241416.45333297842
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,0.0,448874.84757091565,0.0,0.0,0.0,448874.84757091565
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,0.0,90448.1759587739,0.0,0.0,0.0,90448.1759587739
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,0.0,107544.33677335111,0.0,0.0,0.0,107544.33677335111
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,0.0,98812.97474233736,0.0,0.0,0.0,98812.97474233736
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,0.0,62898.925381344285,0.0,0.0,0.0,62898.925381344285
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,0.0,1.8670111782389965e7,0.0,0.0,0.0,1.8670111782389965e7
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,0.0,4.511778804320644e6,0.0,0.0,0.0,4.511778804320644e6
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,0.0,2.613158682587121e6,0.0,0.0,0.0,2.613158682587121e6
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,0.0,397056.89434792625,0.0,0.0,0.0,397056.89434792625
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,0.0,404572.03085787775,0.0,0.0,0.0,404572.03085787775
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,0.0,480722.264043215,0.0,0.0,0.0,480722.264043215
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,0.0,403486.7707064554,0.0,0.0,0.0,403486.7707064554
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,0.0,755601.5927884986,0.0,0.0,0.0,755601.5927884986
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,0.0,464300.0117059071,0.0,0.0,0.0,464300.0117059071
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,0.0,136514.9421935625,0.0,0.0,0.0,136514.9421935625
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,0.0,180122.86097899717,0.0,0.0,0.0,180122.86097899717
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,0.0,323953.51832465356,0.0,0.0,0.0,323953.51832465356
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,0.0,398507.12838986656,0.0,0.0,0.0,398507.12838986656
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,0.0,371657.7712851379,0.0,0.0,0.0,371657.7712851379
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,0.0,244713.82703167576,0.0,0.0,0.0,244713.82703167576
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,0.0,299349.92694683204,0.0,0.0,0.0,299349.92694683204
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,0.0,264141.4537161818,0.0,0.0,0.0,264141.4537161818
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,0.0,356374.9443520304,0.0,0.0,0.0,356374.9443520304
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,0.0,276218.80499413086,0.0,0.0,0.0,276218.80499413086
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,0.0,351807.9828643816,0.0,0.0,0.0,351807.9828643816
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,0.0,221567.70143831166,0.0,0.0,0.0,221567.70143831166
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,0.0,291848.0513838085,0.0,0.0,0.0,291848.0513838085
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,0.0,323331.5378264283,0.0,0.0,0.0,323331.5378264283
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,0.0,232857.85828551822,0.0,0.0,0.0,232857.85828551822
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,0.0,420828.8975397521,0.0,0.0,0.0,420828.8975397521
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,0.0,1.6669205419146724e6,0.0,0.0,0.0,1.6669205419146724e6
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,0.0,2.132950953549679e6,0.0,0.0,0.0,2.132950953549679e6
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,0.0,79499.1983622149,0.0,0.0,0.0,79499.1983622149
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,0.0,155751.8198641594,0.0,0.0,0.0,155751.8198641594
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,0.0,7.890704777339744e6,0.0,0.0,0.0,7.890704777339744e6
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,0.0,4.30278065616707e6,0.0,0.0,0.0,4.30278065616707e6
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,0.0,2.7898853872496276e6,0.0,0.0,0.0,2.7898853872496276e6
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,0.0,771448.2827031052,0.0,0.0,0.0,771448.2827031052
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,0.0,1.0247412678974604e6,0.0,0.0,0.0,1.0247412678974604e6
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.0902996771150425e6,0.0,0.0,0.0,1.0902996771150425e6
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,0.0,1.47753882545796e6,0.0,0.0,0.0,1.47753882545796e6
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,0.0,3.1691723158680596e6,0.0,0.0,0.0,3.1691723158680596e6
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,0.0,1.8905765372840445e6,0.0,0.0,0.0,1.8905765372840445e6
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,0.0,299115.2902387087,0.0,0.0,0.0,299115.2902387087
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,0.0,423002.1959123968,0.0,0.0,0.0,423002.1959123968
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,0.0,1.0362147759443718e6,0.0,0.0,0.0,1.0362147759443718e6
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,0.0,1.289757291347809e6,0.0,0.0,0.0,1.289757291347809e6
