Rep_Period_Index,Rep_Period,Count,Weight
1,9,15,15.0
2,26,21,21.0
3,40,13,13.0
4,68,56,56.0
5,130,39,39.0
6,164,41,41.0
7,206,12,12.0
8,215,35,35.0
9,253,10,10.0
10,263,51,51.0
11,327,64,64.0
12,364,8,8.0
