Rep_Period_Index,Rep_Period,Count,Weight
1,9,15,15.0
2,26,22,22.0
3,40,13,13.0
4,68,54,54.0
5,131,38,38.0
6,164,43,43.0
7,206,12,12.0
8,215,36,36.0
9,253,9,9.0
10,263,51,51.0
11,327,63,63.0
12,364,9,9.0
