Rep_Period_Index,Rep_Period,Count,Weight
1,9,15,15.0
2,43,19,19.0
3,68,68,68.0
4,130,41,41.0
5,164,27,27.0
6,185,20,20.0
7,206,10,10.0
8,228,29,29.0
9,253,10,10.0
10,263,53,53.0
11,327,65,65.0
12,364,8,8.0
