Rep_Period_Index,Rep_Period,Count,Weight
1,9,15,15.0
2,43,19,19.0
3,68,68,68.0
4,130,41,41.0
5,164,27,27.0
6,185,21,21.0
7,206,19,19.0
8,208,8,8.0
9,253,22,22.0
10,263,53,53.0
11,327,64,64.0
12,364,8,8.0
