Rep_Period_Index,Rep_Period,Count,Weight
1,9,15,15.0
2,43,18,18.0
3,78,28,28.0
4,107,67,67.0
5,158,39,39.0
6,185,27,27.0
7,206,19,19.0
8,208,8,8.0
9,253,22,22.0
10,263,52,52.0
11,327,62,62.0
12,364,8,8.0
