zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,0.5097168948098207,0.0,0.0,0.0,0.5097168948098207
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,0.4428207731419071,0.0,0.0,0.0,0.4428207731419071
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.36570804132461227,0.0,0.0,0.0,0.36570804132461227
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,0.6610907081900509,0.0,0.0,0.0,0.6610907081900509
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,0.330245725762998,0.0,0.0,0.0,0.330245725762998
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,0.35509924584065944,0.0,0.0,0.0,0.35509924584065944
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,0.3128451256926501,0.0,0.0,0.0,0.3128451256926501
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,0.3076868857259185,0.0,0.0,0.0,0.3076868857259185
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,0.26276257029256117,0.0,0.0,0.0,0.26276257029256117
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,0.27748727737395656,0.0,0.0,0.0,0.27748727737395656
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,0.2563317621842126,0.0,0.0,0.0,0.2563317621842126
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,0.29970122686873535,0.0,0.0,0.0,0.29970122686873535
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,0.25304672128484174,0.0,0.0,0.0,0.25304672128484174
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,0.0,0.26960064653565347,0.0,0.0,0.0,0.26960064653565347
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.30600812434523017,0.0,0.0,0.0,0.30600812434523017
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,0.0,0.3050831112156554,0.0,0.0,0.0,0.3050831112156554
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,0.0,0.35117237054961137,0.0,0.0,0.0,0.35117237054961137
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,0.0,0.38587314839469056,0.0,0.0,0.0,0.38587314839469056
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,0.0,0.6937482108346367,0.0,0.0,0.0,0.6937482108346367
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,0.0,0.1251283404704613,0.0,0.0,0.0,0.1251283404704613
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,0.0,0.14381086128513018,0.0,0.0,0.0,0.14381086128513018
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,0.0,0.19919809890637843,0.0,0.0,0.0,0.19919809890637843
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.19897226314802793,0.0,0.0,0.0,0.19897226314802793
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,0.0,2.8638751997881737,0.0,0.0,0.0,2.8638751997881737
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,0.0,0.5630737666895806,0.0,0.0,0.0,0.5630737666895806
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,0.0,0.7151105139233062,0.0,0.0,0.0,0.7151105139233062
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,0.0,0.6775883797444943,0.0,0.0,0.0,0.6775883797444943
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.5653487620635076,0.0,0.0,0.0,0.5653487620635076
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,0.0,0.541169374833382,0.0,0.0,0.0,0.541169374833382
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,0.0,0.4520958980070733,0.0,0.0,0.0,0.4520958980070733
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,0.0,0.4155379960215941,0.0,0.0,0.0,0.4155379960215941
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.33849344028000755,0.0,0.0,0.0,0.33849344028000755
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,0.0,0.4630191900177583,0.0,0.0,0.0,0.4630191900177583
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,0.0,0.2772311720044984,0.0,0.0,0.0,0.2772311720044984
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,0.0,0.32547292066749756,0.0,0.0,0.0,0.32547292066749756
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,0.0,0.2941198182469454,0.0,0.0,0.0,0.2941198182469454
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,0.0,0.29425925642510947,0.0,0.0,0.0,0.29425925642510947
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,0.0,0.25317962752230544,0.0,0.0,0.0,0.25317962752230544
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,0.0,0.26836642011374034,0.0,0.0,0.0,0.26836642011374034
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,0.0,0.247399062665145,0.0,0.0,0.0,0.247399062665145
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,0.0,0.28675132663625813,0.0,0.0,0.0,0.28675132663625813
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,0.0,0.24307203125623825,0.0,0.0,0.0,0.24307203125623825
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,0.0,0.26208719081362286,0.0,0.0,0.0,0.26208719081362286
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.2845751140295212,0.0,0.0,0.0,0.2845751140295212
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,0.0,0.29018140428636485,0.0,0.0,0.0,0.29018140428636485
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,0.0,0.3325502664004054,0.0,0.0,0.0,0.3325502664004054
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,0.0,0.35247570692135977,0.0,0.0,0.0,0.35247570692135977
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,0.0,0.6319320120202535,0.0,0.0,0.0,0.6319320120202535
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,0.0,0.7335134510413743,0.0,0.0,0.0,0.7335134510413743
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,0.0,3.896800271807393,0.0,0.0,0.0,3.896800271807393
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,0.0,0.17122852591789176,0.0,0.0,0.0,0.17122852591789176
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.25334429167724803,0.0,0.0,0.0,0.25334429167724803
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,0.0,3.3822499298962705,0.0,0.0,0.0,3.3822499298962705
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,0.0,0.7149948806639166,0.0,0.0,0.0,0.7149948806639166
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,0.0,0.8630341446621019,0.0,0.0,0.0,0.8630341446621019
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,0.0,1.1015958918842295,0.0,0.0,0.0,1.1015958918842295
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.9718091442095667,0.0,0.0,0.0,0.9718091442095667
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,0.0,0.7713197311913064,0.0,0.0,0.0,0.7713197311913064
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,0.0,0.6942668300402873,0.0,0.0,0.0,0.6942668300402873
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,0.0,0.49916709963579725,0.0,0.0,0.0,0.49916709963579725
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.4087195123092976,0.0,0.0,0.0,0.4087195123092976
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,0.0,7.490304220454428,0.0,0.0,0.0,7.490304220454428
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,0.0,0.566166165603685,0.0,0.0,0.0,0.566166165603685
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,0.0,0.402159393885662,0.0,0.0,0.0,0.402159393885662
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,0.0,0.33048746388391453,0.0,0.0,0.0,0.33048746388391453
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,0.0,0.31666286396541066,0.0,0.0,0.0,0.31666286396541066
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,0.0,0.2638407137746624,0.0,0.0,0.0,0.2638407137746624
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,0.0,0.2801846096282435,0.0,0.0,0.0,0.2801846096282435
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,0.0,0.2571042089849472,0.0,0.0,0.0,0.2571042089849472
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,0.0,0.3080030787464306,0.0,0.0,0.0,0.3080030787464306
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,0.0,0.2540504384461161,0.0,0.0,0.0,0.2540504384461161
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,0.0,0.270579021203856,0.0,0.0,0.0,0.270579021203856
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.32826292707871685,0.0,0.0,0.0,0.32826292707871685
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,0.0,0.31908341951293945,0.0,0.0,0.0,0.31908341951293945
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,0.0,0.3779468007560151,0.0,0.0,0.0,0.3779468007560151
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,0.0,0.4541363083896207,0.0,0.0,0.0,0.4541363083896207
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,0.0,0.7671673761197705,0.0,0.0,0.0,0.7671673761197705
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,0.0,1.645660218493293,0.0,0.0,0.0,1.645660218493293
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,0.0,4.306030116882221e6,0.0,0.0,0.0,4.306030116882221e6
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,0.0,1.955840019906638e7,0.0,0.0,0.0,1.955840019906638e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.2931633402357634,0.0,0.0,0.0,0.2931633402357634
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,0.0,5.170771677397713,0.0,0.0,0.0,5.170771677397713
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,0.0,0.8551574061052275,0.0,0.0,0.0,0.8551574061052275
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.0094802747078457,0.0,0.0,0.0,1.0094802747078457
aluminum_Region4Shanxi_aluminum_Region9Shanghai,0.0,0.0,0.0,1.3539941977028431,0.0,0.0,0.0,1.3539941977028431
aluminum_Region4Shanxi_aluminum_Region10Jiangsu,0.0,0.0,0.0,1.2487893948003066,0.0,0.0,0.0,1.2487893948003066
aluminum_Region4Shanxi_aluminum_Region11Zhejiang,0.0,0.0,0.0,0.9323900173888516,0.0,0.0,0.0,0.9323900173888516
aluminum_Region4Shanxi_aluminum_Region12Anhui,0.0,0.0,0.0,0.980404541284187,0.0,0.0,0.0,0.980404541284187
aluminum_Region4Shanxi_aluminum_Region13Fujian,0.0,0.0,0.0,0.576872157714026,0.0,0.0,0.0,0.576872157714026
aluminum_Region4Shanxi_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.49236521445021075,0.0,0.0,0.0,0.49236521445021075
aluminum_Region4Shanxi_aluminum_Region15Shandong,0.0,0.0,0.0,5.544509140728801e7,0.0,0.0,0.0,5.544509140728801e7
aluminum_Region4Shanxi_aluminum_Region16Henan,0.0,0.0,0.0,3.478395148044544e7,0.0,0.0,0.0,3.478395148044544e7
aluminum_Region4Shanxi_aluminum_Region17Hubei,0.0,0.0,0.0,0.5224058383925697,0.0,0.0,0.0,0.5224058383925697
aluminum_Region4Shanxi_aluminum_Region18Hunan,0.0,0.0,0.0,0.38607827050549454,0.0,0.0,0.0,0.38607827050549454
aluminum_Region4Shanxi_aluminum_Region19Guangdong,0.0,0.0,0.0,0.34861183466923684,0.0,0.0,0.0,0.34861183466923684
aluminum_Region4Shanxi_aluminum_Region20Guangxi,0.0,0.0,0.0,0.28082648394441106,0.0,0.0,0.0,0.28082648394441106
aluminum_Region4Shanxi_aluminum_Region21Hainan,0.0,0.0,0.0,0.2981498034385652,0.0,0.0,0.0,0.2981498034385652
aluminum_Region4Shanxi_aluminum_Region22Chongqing,0.0,0.0,0.0,0.2656024119223111,0.0,0.0,0.0,0.2656024119223111
aluminum_Region4Shanxi_aluminum_Region23Sichuan,0.0,0.0,0.0,0.33713137578440067,0.0,0.0,0.0,0.33713137578440067
aluminum_Region4Shanxi_aluminum_Region24Guizhou,0.0,0.0,0.0,0.2635358709170671,0.0,0.0,0.0,0.2635358709170671
aluminum_Region4Shanxi_aluminum_Region25Yunnan,0.0,0.0,0.0,0.2811010111654337,0.0,0.0,0.0,0.2811010111654337
aluminum_Region4Shanxi_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.41454783779969206,0.0,0.0,0.0,0.41454783779969206
aluminum_Region4Shanxi_aluminum_Region28Gansu,0.0,0.0,0.0,0.3660966555795826,0.0,0.0,0.0,0.3660966555795826
